team,three_pt_rate,three_pt_pct,ft_rate,tov_per_game,Pace,TS%,opp_three_pt_rate_allowed,opp_three_pt_pct_allowed,season
PHI,0.37248322147651003,0.363,0.2639821029082774,12.0,97.5,0.574,0.38914549653579683,0.354,2024
HOU,0.39670329670329674,0.352,0.2571428571428571,12.7,99.0,0.565,0.4018161180476731,0.348,2024
WAS,0.3884026258205689,0.348,0.22100656455142229,14.0,102.7,0.567,0.3649085037674919,0.362,2024
MIN,0.38470588235294123,0.387,0.26941176470588235,14.2,97.1,0.594,0.37211981566820274,0.354,2024
NYK,0.40360766629086803,0.369,0.24577226606538896,13.2,95.2,0.574,0.40023337222870475,0.365,2024
CLE,0.4220183486238532,0.367,0.23394495412844035,13.6,97.2,0.586,0.38628571428571423,0.371,2024
TOR,0.3690078037904125,0.347,0.2408026755852843,14.0,99.4,0.566,0.3980263157894736,0.376,2024
CHI,0.358659217877095,0.358,0.2357541899441341,12.2,96.3,0.568,0.4540229885057471,0.37,2024
SAS,0.40132304299889743,0.347,0.2205071664829107,15.1,101.1,0.563,0.36836403033586135,0.373,2024
ORL,0.36866902237926974,0.352,0.287396937573616,14.7,96.9,0.577,0.3821428571428572,0.358,2024
BRK,0.41189674523007863,0.362,0.2345679012345679,13.1,96.9,0.561,0.39435028248587567,0.372,2024
MIA,0.3936915887850468,0.37,0.25700934579439255,12.7,96.2,0.578,0.42790697674418604,0.353,2024
DET,0.35941043083900226,0.348,0.24603174603174602,15.2,99.8,0.562,0.3674157303370787,0.37,2024
CHO,0.39080459770114945,0.355,0.21149425287356322,13.8,97.3,0.56,0.4127708095781072,0.377,2024
POR,0.3701226309921962,0.345,0.22853957636566333,15.2,97.2,0.539,0.384526558891455,0.351,2024
MEM,0.42857142857142855,0.346,0.23809523809523808,15.1,98.2,0.543,0.4073647871116225,0.378,2024
CLE,0.45704845814977973,0.383,0.24118942731277532,13.2,99.8,0.607,0.41254125412541254,0.359,2025
MEM,0.4062165058949625,0.367,0.2497320471596999,15.7,103.3,0.588,0.42919389978213507,0.36,2025
DEN,0.35523385300668153,0.376,0.2594654788418708,14.3,99.8,0.604,0.4161290322580645,0.365,2025
OKC,0.41855447680690394,0.374,0.22006472491909382,11.7,100.0,0.593,0.45172413793103444,0.342,2025
ATL,0.4106753812636166,0.358,0.25272331154684097,15.5,102.6,0.579,0.4190687361419068,0.377,2025
CHI,0.45652173913043476,0.367,0.21413043478260868,14.7,102.8,0.585,0.4168421052631579,0.344,2025
IND,0.4008958566629339,0.368,0.24188129899216126,13.2,99.9,0.594,0.403781979977753,0.355,2025
BOS,0.5355555555555556,0.368,0.21222222222222223,11.9,95.7,0.591,0.41498881431767337,0.347,2025
NYK,0.38228699551569506,0.369,0.23206278026905827,13.3,96.7,0.589,0.4070695553021665,0.367,2025
SAC,0.3906770255271921,0.357,0.23529411764705882,13.3,98.2,0.582,0.4350797266514807,0.381,2025
MIL,0.4236111111111111,0.387,0.2673611111111111,13.4,99.3,0.598,0.43249176728869376,0.353,2025
DET,0.39420935412026725,0.362,0.24832962138084633,14.9,99.8,0.58,0.4232081911262799,0.366,2025
MIN,0.4554794520547945,0.377,0.2488584474885845,14.5,97.3,0.588,0.4090909090909091,0.353,2025
HOU,0.3832976445396145,0.353,0.24197002141327623,13.9,98.6,0.553,0.39071347678369195,0.357,2025
DAL,0.3899657924743444,0.364,0.2633979475484607,14.0,99.2,0.583,0.38604143947655395,0.363,2025
SAS,0.4409799554565702,0.357,0.23385300668151449,13.9,99.3,0.575,0.42486486486486486,0.365,2025
GSW,0.4690265486725663,0.364,0.24446902654867256,14.0,98.7,0.568,0.4177215189873417,0.363,2025
PHO,0.440324449594438,0.378,0.2410196987253766,14.1,97.1,0.595,0.4261931187569368,0.37,2025
LAL,0.4257309941520468,0.366,0.27134502923976606,14.0,97.6,0.593,0.4266517357222845,0.356,2025
LAC,0.3870220162224797,0.373,0.2514484356894554,14.9,97.5,0.589,0.43123543123543123,0.35,2025
UTA,0.44870349492671924,0.35,0.2525366403607666,17.2,100.0,0.568,0.44623655913978494,0.358,2025
TOR,0.37362637362637363,0.348,0.23186813186813188,15.3,99.7,0.553,0.4269535673839185,0.349,2025
POR,0.417960088691796,0.342,0.24611973392461195,16.0,98.8,0.555,0.3986409966024915,0.361,2025
MIA,0.42873563218390803,0.367,0.232183908045977,13.6,96.2,0.576,0.42776523702031605,0.36,2025
NOP,0.38487208008898777,0.347,0.24360400444938818,14.6,99.1,0.552,0.4430939226519337,0.365,2025
PHI,0.425629290617849,0.341,0.2574370709382151,13.6,97.4,0.563,0.43317972350230416,0.378,2025
WAS,0.43492769744160176,0.335,0.22914349276974416,15.6,100.9,0.546,0.42241379310344834,0.364,2025
ORL,0.4114219114219114,0.318,0.2680652680652681,14.2,96.1,0.55,0.3852760736196319,0.365,2025
CHO,0.4298540965207632,0.339,0.22222222222222224,15.5,97.6,0.537,0.44994375703037115,0.355,2025
BRK,0.45760743321718933,0.344,0.24041811846689895,15.2,96.4,0.552,0.4234875444839858,0.362,2025
