team,star1_Player,star2_Player,star3_Player,star1_MP,star2_MP,star3_MP,star1_PTS,star2_PTS,star3_PTS,star1_TRB,star2_TRB,star3_TRB,star1_AST,star2_AST,star3_AST,star1_STL,star2_STL,star3_STL,star1_BLK,star2_BLK,star3_BLK,star1_eFG%,star2_eFG%,star3_eFG%,star1_TOV,star2_TOV,star3_TOV,top_combined_pts,top_combined_ast,top_combined_reb,star1_dominance,season
MIN,Anthony Edwards,Rudy Gobert,Julius Randle,36.3,33.2,32.3,27.6,12.0,18.7,5.7,10.9,7.1,4.5,1.8,4.7,1.2,0.8,0.7,0.6,1.4,0.2,0.547,0.669,0.542,3.2,1.2,2.8,58.3,11.0,23.700000000000003,0.4734133790737564,2025
NOP,Trey Murphy III,CJ McCollum,Dejounte Murray,35.0,32.7,32.6,21.2,21.1,17.5,5.1,3.8,6.5,3.5,4.1,7.4,1.1,0.8,2.0,0.7,0.4,0.4,0.548,0.53,0.445,1.9,1.9,3.4,59.8,15.0,15.4,0.354515050167224,2025
NYK,Josh Hart,Mikal Bridges,OG Anunoby,37.6,37.0,36.6,13.6,17.6,18.0,9.6,3.2,4.8,5.9,3.7,2.2,1.5,0.9,1.5,0.4,0.5,0.9,0.579,0.57,0.559,2.1,1.6,1.4,49.2,11.8,17.6,0.2764227642276422,2025
OKC,Shai Gilgeous-Alexander,Jalen Williams,Luguentz Dort,34.2,32.4,29.2,32.7,21.6,10.1,5.0,5.3,4.1,6.4,5.1,1.6,1.7,1.6,1.1,1.0,0.7,0.5,0.569,0.537,0.578,2.4,2.2,0.7,64.4,13.1,14.4,0.5077639751552795,2025
ORL,Paolo Banchero,Franz Wagner,Kentavious Caldwell-Pope,34.4,33.7,29.6,25.9,24.2,8.7,7.5,5.7,2.2,4.8,4.7,1.8,0.8,1.3,1.3,0.6,0.4,0.4,0.5,0.507,0.543,3.0,2.3,0.8,58.8,11.3,15.4,0.4404761904761904,2025
PHI,Tyrese Maxey,Kelly Oubre Jr.,Quentin Grimes,37.7,34.6,33.7,26.3,15.1,21.9,3.3,6.1,5.2,6.1,1.8,4.5,1.8,1.5,1.5,0.4,0.5,0.4,0.511,0.518,0.559,2.4,1.3,2.9,63.3,12.4,14.599999999999998,0.4154818325434439,2025
PHO,Devin Booker,Kevin Durant,Bradley Beal,37.3,36.5,32.1,25.6,26.6,17.0,4.1,6.0,3.3,7.1,4.2,3.7,0.9,0.8,1.1,0.2,1.2,0.5,0.525,0.598,0.571,2.9,3.1,1.9,69.2,15.0,13.4,0.3699421965317919,2025
POR,Anfernee Simons,Toumani Camara,Jerami Grant,32.7,32.7,32.4,19.3,11.3,14.4,2.7,5.8,3.5,4.8,2.2,2.1,0.9,1.5,0.9,0.1,0.6,1.0,0.521,0.552,0.467,2.0,1.4,1.4,45.0,9.1,12.0,0.4288888888888889,2025
SAC,Zach LaVine,DeMar DeRozan,Domantas Sabonis,36.6,35.9,34.7,22.4,22.2,19.1,3.5,3.9,13.9,3.8,4.4,6.0,0.6,0.8,0.7,0.1,0.4,0.4,0.611,0.509,0.627,2.7,1.4,2.9,63.7,14.2,21.3,0.3516483516483517,2025
SAS,Victor Wembanyama,Devin Vassell,Chris Paul,33.2,31.0,28.0,24.3,16.3,8.8,11.0,4.0,3.6,3.7,2.9,7.4,1.1,1.3,1.3,3.8,0.5,0.3,0.559,0.532,0.547,3.2,1.4,1.6,49.400000000000006,14.0,18.6,0.4919028340080971,2025
TOR,Scottie Barnes,RJ Barrett,Jakob Poeltl,32.8,32.2,29.6,19.3,21.1,14.5,7.7,6.3,9.6,5.8,5.4,2.8,1.4,0.8,1.2,1.0,0.3,1.2,0.482,0.523,0.628,2.8,2.8,1.9,54.900000000000006,14.0,23.6,0.3515482695810564,2025
UTA,Keyonte George,Lauri Markkanen,John Collins,31.5,31.4,30.5,16.8,19.0,19.0,3.8,5.9,8.2,5.6,1.5,2.0,0.7,0.7,1.0,0.1,0.4,1.0,0.485,0.521,0.583,2.7,1.4,2.6,54.8,9.1,17.9,0.3065693430656934,2025
WAS,Bilal Coulibaly,Bub Carrington,Jordan Poole,33.0,30.0,29.4,12.3,9.8,20.5,5.0,4.2,3.0,3.4,4.4,4.5,1.3,0.7,1.3,0.7,0.3,0.4,0.472,0.493,0.544,2.1,1.7,3.0,42.6,12.3,12.2,0.2887323943661972,2025
